timestamp,open,high,low,close,volume
2025-01-01 00:00:00,93390.63,93435.98,93352.0,93435.98,1.23168
2025-01-01 00:01:00,93435.99,93470.03,93416.0,93470.03,1.02372
2025-01-01 00:02:00,93475.98,93512.0,93448.01,93512.0,1.27185
2025-01-01 00:03:00,93512.0,93512.0,93440.18,93481.13,1.90533
2025-01-01 00:04:00,93481.12,93485.25,93452.01,93466.76,0.75142
2025-01-01 00:05:00,93456.66,93480.0,93456.64,93476.38,1.64387
2025-01-01 00:06:00,93476.38,93476.38,93392.05,93435.78,0.75729
2025-01-01 00:07:00,93435.77,93435.77,93398.35,93398.35,1.02106
2025-01-01 00:08:00,93398.36,93404.01,93381.2,93400.0,1.18159
2025-01-01 00:09:00,93400.0,93400.0,93381.62,93396.29,0.52865
2025-01-01 00:10:00,93390.46,93415.99,93311.74,93315.99,2.53905
2025-01-01 00:11:00,93316.0,93340.0,93277.24,93315.97,1.45878
2025-01-01 00:12:00,93315.97,93338.67,93288.01,93332.16,0.84699
2025-01-01 00:13:00,93335.96,93363.99,93335.96,93359.99,1.06518
2025-01-01 00:14:00,93360.73,93467.62,93360.73,93467.62,0.45106
2025-01-01 00:15:00,93458.6,93525.73,93420.01,93520.0,2.77351
2025-01-01 00:16:00,93518.27,93592.78,93504.01,93587.85,1.27662
2025-01-01 00:17:00,93576.0,93628.74,93572.02,93628.74,0.84116
2025-01-01 00:18:00,93631.57,93651.4,93606.86,93632.6,1.3292
2025-01-01 00:19:00,93632.6,93632.6,93596.01,93610.42,1.23304
2025-01-01 00:20:00,93610.42,93664.09,93610.42,93664.09,1.36498
2025-01-01 00:21:00,93666.66,93707.61,93612.0,93612.0,1.10151
2025-01-01 00:22:00,93601.39,93608.09,93540.81,93540.81,0.15815
2025-01-01 00:23:00,93538.4,93572.68,93515.59,93557.99,2.90375
2025-01-01 00:24:00,93557.99,93568.01,93544.01,93544.01,0.21271
2025-01-01 00:25:00,93553.61,93553.61,93536.01,93542.91,0.13852
2025-01-01 00:26:00,93542.91,93542.91,93529.91,93539.9,0.98676
2025-01-01 00:27:00,93543.9,93543.91,93536.1,93539.9,0.37723
2025-01-01 00:28:00,93539.9,93550.0,93539.56,93539.56,0.28965
2025-01-01 00:29:00,93539.56,93572.0,93539.56,93568.0,0.18954
2025-01-01 00:30:00,93571.99,93604.99,93571.99,93604.64,0.65731
2025-01-01 00:31:00,93604.65,93687.9,93604.65,93635.99,3.37588
2025-01-01 00:32:00,93651.03,93767.99,93651.03,93732.83,1.04549
2025-01-01 00:33:00,93736.0,93744.0,93696.0,93696.0,3.0111
2025-01-01 00:34:00,93696.0,93696.0,93692.2,93693.94,0.18825
2025-01-01 00:35:00,93693.93,93694.72,93671.44,93682.5,1.01153
2025-01-01 00:36:00,93682.4,93682.4,93645.35,93668.0,0.27976
2025-01-01 00:37:00,93666.32,93668.01,93647.65,93651.13,0.35538
2025-01-01 00:38:00,93648.0,93715.79,93648.0,93715.79,1.20349
2025-01-01 00:39:00,93730.71,93730.71,93684.0,93715.99,1.21266
2025-01-01 00:40:00,93715.99,93767.99,93700.02,93733.96,5.89822
2025-01-01 00:41:00,93734.2,93734.87,93693.66,93693.66,0.61233
2025-01-01 00:42:00,93693.67,93723.99,93692.01,93708.0,2.36275
2025-01-01 00:43:00,93707.99,93731.99,93707.99,93718.59,0.44206
2025-01-01 00:44:00,93700.44,93700.44,93692.26,93692.26,0.09641
2025-01-01 00:45:00,93689.05,93695.98,93672.85,93672.86,0.23231
2025-01-01 00:46:00,93672.86,93704.01,93668.01,93704.01,0.68957
2025-01-01 00:47:00,93704.0,93771.74,93704.0,93765.9,0.79587
2025-01-01 00:48:00,93763.91,93778.78,93763.91,93778.77,0.09715
2025-01-01 00:49:00,93780.0,93787.64,93780.0,93784.43,0.07596
2025-01-01 00:50:00,93780.84,93893.61,93762.74,93888.88,3.12629
2025-01-01 00:51:00,93890.23,93950.53,93880.57,93950.53,5.92674
2025-01-01 00:52:00,93952.44,93969.7,93940.66,93958.46,1.49098
2025-01-01 00:53:00,93958.45,93999.66,93934.45,93999.66,0.55633
2025-01-01 00:54:00,93999.65,94098.71,93996.57,94052.88,2.52418
2025-01-01 00:55:00,94052.88,94052.88,94002.3,94002.31,1.45182
2025-01-01 00:56:00,94002.3,94020.0,94002.3,94020.0,0.09912
2025-01-01 00:57:00,94020.0,94140.0,94020.0,94140.0,5.45222
2025-01-01 00:58:00,94140.0,94292.0,94110.93,94280.88,5.48974
2025-01-01 00:59:00,94287.99,94292.02,94176.01,94210.47,1.73098
2025-01-01 01:00:00,94208.01,94212.02,94061.81,94088.0,3.12737
2025-01-01 01:01:00,94074.62,94074.62,94020.62,94024.01,0.72711
2025-01-01 01:02:00,94027.56,94031.28,93999.66,93999.66,0.42868
2025-01-01 01:03:00,93994.56,94008.0,93940.2,93948.0,1.11846
2025-01-01 01:04:00,93940.0,93940.0,93909.85,93935.99,0.27317
2025-01-01 01:05:00,93907.16,93907.16,93729.03,93741.23,8.67543
2025-01-01 01:06:00,93744.0,93776.0,93737.2,93755.99,1.59322
2025-01-01 01:07:00,93755.99,93799.99,93744.01,93794.86,1.22014
2025-01-01 01:08:00,93794.87,93804.03,93780.01,93804.03,0.61031
2025-01-01 01:09:00,93771.99,93883.04,93771.99,93879.11,1.88462
2025-01-01 01:10:00,93887.51,93931.99,93887.51,93894.35,1.99314
2025-01-01 01:11:00,93895.55,93926.24,93892.97,93914.59,1.57535
