symbol,timestamp,open,high,low,close,volume
BTCUSDC,2025-01-01T00:00:00Z,93390.63,93435.98,93352.0,93435.98,1.23168
BTCUSDC,2025-01-01T00:01:00Z,93435.99,93470.03,93416.0,93470.03,1.02372
BTCUSDC,2025-01-01T00:02:00Z,93475.98,93512.0,93448.01,93512.0,1.27185
BTCUSDC,2025-01-01T00:03:00Z,93512.0,93512.0,93440.18,93481.13,1.90533
BTCUSDC,2025-01-01T00:04:00Z,93481.12,93485.25,93452.01,93466.76,0.75142
BTCUSDC,2025-01-01T00:05:00Z,93456.66,93480.0,93456.64,93476.38,1.64387
BTCUSDC,2025-01-01T00:06:00Z,93476.38,93476.38,93392.05,93435.78,0.75729
BTCUSDC,2025-01-01T00:07:00Z,93435.77,93435.77,93398.35,93398.35,1.02106
BTCUSDC,2025-01-01T00:08:00Z,93398.36,93404.01,93381.2,93400.0,1.18159
BTCUSDC,2025-01-01T00:09:00Z,93400.0,93400.0,93381.62,93396.29,0.52865
BTCUSDC,2025-01-01T00:10:00Z,93390.46,93415.99,93311.74,93315.99,2.53905
BTCUSDC,2025-01-01T00:11:00Z,93316.0,93340.0,93277.24,93315.97,1.45878
BTCUSDC,2025-01-01T00:12:00Z,93315.97,93338.67,93288.01,93332.16,0.84699
BTCUSDC,2025-01-01T00:13:00Z,93335.96,93363.99,93335.96,93359.99,1.06518
BTCUSDC,2025-01-01T00:14:00Z,93360.73,93467.62,93360.73,93467.62,0.45106
BTCUSDC,2025-01-01T00:15:00Z,93458.6,93525.73,93420.01,93520.0,2.77351
BTCUSDC,2025-01-01T00:16:00Z,93518.27,93592.78,93504.01,93587.85,1.27662
BTCUSDC,2025-01-01T00:17:00Z,93576.0,93628.74,93572.02,93628.74,0.84116
BTCUSDC,2025-01-01T00:18:00Z,93631.57,93651.4,93606.86,93632.6,1.3292
BTCUSDC,2025-01-01T00:19:00Z,93632.6,93632.6,93596.01,93610.42,1.23304
BTCUSDC,2025-01-01T00:20:00Z,93610.42,93664.09,93610.42,93664.09,1.36498
BTCUSDC,2025-01-01T00:21:00Z,93666.66,93707.61,93612.0,93612.0,1.10151
BTCUSDC,2025-01-01T00:22:00Z,93601.39,93608.09,93540.81,93540.81,0.15815
BTCUSDC,2025-01-01T00:23:00Z,93538.4,93572.68,93515.59,93557.99,2.90375
BTCUSDC,2025-01-01T00:24:00Z,93557.99,93568.01,93544.01,93544.01,0.21271
BTCUSDC,2025-01-01T00:25:00Z,93553.61,93553.61,93536.01,93542.91,0.13852
BTCUSDC,2025-01-01T00:26:00Z,93542.91,93542.91,93529.91,93539.9,0.98676
BTCUSDC,2025-01-01T00:27:00Z,93543.9,93543.91,93536.1,93539.9,0.37723
BTCUSDC,2025-01-01T00:28:00Z,93539.9,93550.0,93539.56,93539.56,0.28965
BTCUSDC,2025-01-01T00:29:00Z,93539.56,93572.0,93539.56,93568.0,0.18954
BTCUSDC,2025-01-01T00:30:00Z,93571.99,93604.99,93571.99,93604.64,0.65731
BTCUSDC,2025-01-01T00:31:00Z,93604.65,93687.9,93604.65,93635.99,3.37588
BTCUSDC,2025-01-01T00:32:00Z,93651.03,93767.99,93651.03,93732.83,1.04549
BTCUSDC,2025-01-01T00:33:00Z,93736.0,93744.0,93696.0,93696.0,3.0111
BTCUSDC,2025-01-01T00:34:00Z,93696.0,93696.0,93692.2,93693.94,0.18825
BTCUSDC,2025-01-01T00:35:00Z,93693.93,93694.72,93671.44,93682.5,1.01153
BTCUSDC,2025-01-01T00:36:00Z,93682.4,93682.4,93645.35,93668.0,0.27976
BTCUSDC,2025-01-01T00:37:00Z,93666.32,93668.01,93647.65,93651.13,0.35538
BTCUSDC,2025-01-01T00:38:00Z,93648.0,93715.79,93648.0,93715.79,1.20349
BTCUSDC,2025-01-01T00:39:00Z,93730.71,93730.71,93684.0,93715.99,1.21266
BTCUSDC,2025-01-01T00:40:00Z,93715.99,93767.99,93700.02,93733.96,5.89822
BTCUSDC,2025-01-01T00:41:00Z,93734.2,93734.87,93693.66,93693.66,0.61233
BTCUSDC,2025-01-01T00:42:00Z,93693.67,93723.99,93692.01,93708.0,2.36275
BTCUSDC,2025-01-01T00:43:00Z,93707.99,93731.99,93707.99,93718.59,0.44206
BTCUSDC,2025-01-01T00:44:00Z,93700.44,93700.44,93692.26,93692.26,0.09641
BTCUSDC,2025-01-01T00:45:00Z,93689.05,93695.98,93672.85,93672.86,0.23231
